Time,U1,U2,U3,U4,U5,Utot,J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PinAIR,PoutAIR,PoutH2,PinH2,DinH2,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC
0,0.67089,0.66728,0.66571,0.66728,0.66188,3.33711,0.69984,69.98409,24.6237,37.25073,43.2561,51.19559,53.77977,55.49375,1300.93989,1265.67789,1299.67375,1286.59402,4.79337,2.11639,23.03778,21.33362,2.01398,51.96265
1,0.67083,0.66705,0.66514,0.66684,0.66154,3.33448,0.69989,69.98903,24.67198,37.34407,43.24714,51.20368,53.76277,55.47789,1300.88507,1265.91232,1299.88793,1286.85255,4.79349,2.11593,23.03729,21.32725,2.0182,51.98686
2,0.67074,0.66682,0.66456,0.66637,0.6612,3.33185,0.69994,69.99401,24.71825,37.43966,43.23572,51.21053,53.7459,55.46061,1300.83414,1266.1428,1300.04679,1287.05014,4.79359,2.11563,23.03681,21.32087,2.02194,52.01221
3,0.67064,0.66659,0.664,0.66589,0.66085,3.32923,0.7,69.99916,24.76464,37.53944,43.22079,51.2157,53.72908,55.44247,1300.78731,1266.37545,1300.18562,1287.22793,4.7937,2.11532,23.03633,21.31451,2.02547,52.03643
4,0.67051,0.66634,0.66342,0.6654,0.66049,3.32663,0.70005,70.00426,24.81219,37.63321,43.20356,51.22007,53.71242,55.42428,1300.67296,1266.52379,1300.27766,1287.3614,4.79382,2.11515,23.03587,21.30794,2.03087,52.05738
5,0.67025,0.66609,0.66282,0.6648,0.66,3.32418,0.7001,70.00932,24.84711,37.69744,43.18738,51.22412,53.70319,55.4095,1300.29494,1266.32602,1299.91241,1286.96723,4.79384,2.11521,23.03554,21.29849,2.03132,52.08097
6,0.66992,0.66586,0.66224,0.66418,0.65946,3.32181,0.70015,70.01444,24.87202,37.74438,43.17711,51.22867,53.69975,55.39825,1300.06864,1266.25876,1299.49098,1286.45345,4.79385,2.1144,23.03531,21.28847,2.02303,52.10472
7,0.66956,0.66563,0.66171,0.6636,0.65894,3.31954,0.70021,70.02099,24.89436,37.77689,43.15921,51.23192,53.70307,55.39225,1300.0105,1266.30631,1299.03811,1285.87465,4.79389,2.11287,23.03526,21.28022,2.01277,52.10991
8,0.66932,0.66539,0.66124,0.66309,0.65848,3.31755,0.70028,70.02828,24.91694,37.78667,43.14253,51.23537,53.71169,55.3949,1299.83363,1266.16568,1298.66122,1285.39971,4.79396,2.11106,23.03535,21.27334,2.00154,52.10558
9,0.66918,0.66519,0.66077,0.66263,0.65804,3.31582,0.70035,70.03476,24.93363,37.76438,43.14284,51.2386,53.72179,55.40711,1299.63628,1265.96208,1298.40904,1285.03414,4.7941,2.10878,23.03549,21.26838,1.98853,52.12251
10,0.66908,0.66504,0.66029,0.66223,0.65766,3.31434,0.7004,70.03976,24.94139,37.71578,43.16308,51.24104,53.72797,55.41954,1299.58903,1265.88023,1298.34438,1284.80786,4.79425,2.10707,23.03563,21.26617,1.97617,52.16153
11,0.669,0.66493,0.65986,0.66193,0.65739,3.31315,0.70044,70.04371,24.94515,37.66821,43.18642,51.24827,53.73829,55.43153,1299.6259,1265.84097,1298.4684,1284.79814,4.7943,2.10651,23.03585,21.26828,1.97307,52.17544
12,0.66898,0.66481,0.6595,0.66167,0.65721,3.31222,0.70046,70.04652,24.94878,37.64577,43.20598,51.25774,53.75205,55.44366,1299.50965,1265.62035,1298.68263,1284.97933,4.79427,2.10677,23.03605,21.27311,1.97197,52.16028
13,0.66899,0.6647,0.65914,0.66143,0.65708,3.31139,0.70048,70.04822,24.9526,37.65998,43.22758,51.26342,53.76254,55.45242,1299.38348,1265.36703,1298.95924,1285.28098,4.79421,2.1072,23.03605,21.27827,1.97141,52.15173
14,0.66892,0.66452,0.65879,0.66124,0.65691,3.31046,0.70049,70.04931,24.95765,37.69227,43.24166,51.26997,53.76679,55.45744,1299.42849,1265.32685,1299.33697,1285.67563,4.79414,2.10739,23.03595,21.28357,1.97257,52.14423
15,0.66878,0.6643,0.65848,0.66104,0.65669,3.30934,0.7005,70.05016,24.9647,37.72894,43.2435,51.28133,53.77361,55.46188,1299.62694,1265.49285,1299.55875,1285.91112,4.794,2.10702,23.03588,21.28883,1.97547,52.11548
16,0.66861,0.66398,0.65819,0.66072,0.65643,3.30793,0.70051,70.0511,24.97011,37.79685,43.23587,51.29254,53.7835,55.46472,1299.79608,1265.6876,1299.47718,1285.88417,4.79389,2.10635,23.03584,21.29241,1.97645,52.0696
17,0.66835,0.66361,0.65782,0.66028,0.65613,3.30614,0.70052,70.05223,24.96967,37.88701,43.22608,51.29823,53.78675,55.46396,1300.05074,1265.99124,1299.19875,1285.69611,4.79394,2.10596,23.03578,21.29653,1.9795,52.05377
18,0.66803,0.66333,0.65741,0.65979,0.6558,3.30429,0.70053,70.05316,24.9651,37.93919,43.2224,51.29946,53.77884,55.45844,1300.45824,1266.45307,1299.23252,1285.76268,4.79413,2.10512,23.03573,21.30257,1.98327,52.07539
19,0.6677,0.66313,0.65702,0.65935,0.65549,3.30264,0.70054,70.05406,24.96065,37.96522,43.22573,51.29878,53.76639,55.44884,1300.84422,1266.91418,1299.6188,1286.12261,4.79431,2.10349,23.03579,21.30783,1.98389,52.11033
20,0.66738,0.66297,0.65664,0.65897,0.65523,3.30113,0.70055,70.05508,24.95795,37.99512,43.23406,51.29517,53.75706,55.43836,1301.06226,1267.21813,1299.92249,1286.46213,4.79439,2.10242,23.03593,21.30813,1.98812,52.13579
21,0.66707,0.66288,0.65622,0.65862,0.65501,3.29976,0.70056,70.0561,24.95619,38.02849,43.25051,51.29031,53.75024,55.42723,1301.22729,1267.44531,1300.24984,1286.92835,4.79431,2.10324,23.03603,21.30475,1.98943,52.1578
22,0.66675,0.66285,0.65577,0.65836,0.65479,3.29852,0.70057,70.05702,24.95678,38.02835,43.25696,51.2886,53.74337,55.41624,1301.36476,1267.59289,1300.81119,1287.61563,4.79421,2.10509,23.03608,21.29868,1.98914,52.1661
23,0.66649,0.66285,0.65538,0.65816,0.65459,3.29746,0.70058,70.05795,24.96018,37.97773,43.24938,51.28781,53.73532,55.40402,1301.30275,1267.49188,1301.38463,1288.18487,4.79414,2.10507,23.03612,21.29058,1.99166,52.16998
24,0.66635,0.66273,0.65506,0.658,0.65442,3.2965,0.70059,70.0588,24.96065,37.92722,43.23056,51.2838,53.73083,55.39524,1301.02238,1267.17826,1301.28122,1288.05927,4.794,2.10394,23.03615,21.28063,1.99292,52.15726
25,0.66626,0.6626,0.65478,0.65784,0.65425,3.29565,0.7006,70.0598,24.95495,37.90864,43.21313,51.28537,53.7357,55.39645,1300.69557,1266.84772,1300.52145,1287.37694,4.79384,2.10265,23.03616,21.27315,1.99045,52.13153
26,0.6662,0.66251,0.65458,0.65765,0.65409,3.29489,0.70061,70.06111,24.95201,37.89349,43.20762,51.29195,53.74441,55.40427,1300.38172,1266.5438,1300.04212,1286.92972,4.79379,2.10042,23.03607,21.2702,1.99123,52.11543
27,0.66617,0.66241,0.65446,0.65744,0.65399,3.29427,0.70062,70.06237,24.95911,37.87123,43.21111,51.3002,53.74973,55.41182,1300.11978,1266.26871,1299.85412,1286.6426,4.7939,2.09643,23.03575,21.27015,1.9909,52.11565
28,0.66621,0.66228,0.65436,0.65726,0.65397,3.29387,0.70063,70.06305,24.97482,37.87287,43.21573,51.30915,53.75437,55.42225,1299.98739,1266.07575,1299.5531,1286.22509,4.79401,2.09213,23.03549,21.27232,1.99093,52.11348
29,0.66631,0.66218,0.65418,0.65712,0.65395,3.29358,0.70064,70.06346,24.99774,37.92013,43.22674,51.32174,53.76225,55.4338,1300.05859,1266.08204,1299.38203,1286.10363,4.79404,2.08965,23.036,21.27757,1.9905,52.11184
30,0.66634,0.66211,0.65395,0.657,0.65388,3.29318,0.70064,70.06395,25.02816,37.98388,43.23628,51.33644,53.77353,55.44501,1300.19471,1266.17075,1299.53732,1286.39503,4.79405,2.08932,23.036,21.28336,1.98874,52.10174
31,0.66628,0.66196,0.65374,0.65688,0.65379,3.29264,0.70064,70.06416,25.05981,38.02044,43.23965,51.34843,53.78096,55.45154,1300.28321,1266.23487,1299.857,1286.77229,4.79413,2.08933,23.0395,21.28681,1.98775,52.09083
32,0.66622,0.66182,0.65358,0.6568,0.65375,3.29218,0.70064,70.06407,25.08197,38.03412,43.23191,51.35343,53.78035,55.45114,1300.39808,1266.30681,1299.9412,1286.88121,4.79429,2.09164,23.03639,21.28837,1.98993,52.0799
33,0.66623,0.66176,0.65345,0.65681,0.65372,3.29181,0.70064,70.0637,25.07936,38.04193,43.21792,51.35167,53.77524,55.44885,1300.49441,1266.35269,1299.80838,1286.81524,4.79445,2.09728,23.03519,21.29277,1.99473,52.07037
34,0.66629,0.66177,0.65362,0.65701,0.65377,3.29171,0.70062,70.06232,25.03314,38.04095,43.21132,51.34241,53.76816,55.44669,1300.43379,1266.31243,1299.84487,1286.92432,4.79446,2.10425,23.03481,21.29771,1.9987,52.07381
35,0.66635,0.6618,0.65451,0.65764,0.65426,3.29343,0.70061,70.06072,24.96888,38.00904,43.21738,51.3266,53.76066,55.44325,1300.28959,1266.26528,1299.99715,1287.0907,4.79435,2.11095,23.03492,21.29731,2.00258,52.09514
36,0.66632,0.66178,0.65528,0.65816,0.65471,3.29497,0.70059,70.05925,24.90463,37.94585,43.23633,51.30894,53.75085,55.43856,1300.12538,1266.21337,1300.12792,1287.20714,4.7942,2.11733,23.03478,21.29168,2.00742,52.13563
37,0.66623,0.66173,0.6559,0.65856,0.65511,3.29618,0.70058,70.05743,24.83702,37.88494,43.26106,51.29003,53.74201,55.43265,1299.98268,1266.1568,1300.29092,1287.40782,4.79405,2.12355,23.03458,21.28655,2.01263,52.19504
38,0.66617,0.66162,0.65655,0.65904,0.65556,3.29758,0.70056,70.05578,24.76587,37.84476,43.27724,51.27474,53.73998,55.42717,1299.85624,1266.11344,1300.4447,1287.58463,4.79379,2.12812,23.03447,21.28513,2.01252,52.24254
39,0.66611,0.66148,0.65728,0.65959,0.65608,3.29941,0.70055,70.05459,24.70298,37.81366,43.28922,51.26755,53.74203,55.42421,1299.73431,1266.13924,1300.56301,1287.70042,4.7936,2.12959,23.03441,21.28589,2.00828,52.2614
40,0.66595,0.66128,0.65711,0.65963,0.6562,3.29957,0.70055,70.05497,24.666,37.79363,43.29638,51.26698,53.74568,55.42062,1299.65968,1266.22103,1300.62064,1287.78762,4.79353,2.12891,23.03443,21.28796,2.00271,52.26444
41,0.66574,0.66107,0.65661,0.65937,0.656,3.29855,0.70056,70.05575,24.64504,37.79558,43.29859,51.26991,53.75051,55.41848,1299.67466,1266.33098,1300.59521,1287.8519,4.79361,2.12856,23.0346,21.29387,1.99534,52.25837
42,0.66557,0.66092,0.65619,0.65908,0.65577,3.29747,0.70057,70.05636,24.63203,37.82534,43.28971,51.27573,53.7536,55.41933,1299.73899,1266.45868,1300.66674,1287.98692,4.7938,2.12866,23.03493,21.30184,1.98589,52.23904
43,0.6655,0.66087,0.65581,0.65881,0.65557,3.29655,0.70057,70.0569,24.62699,37.86919,43.27078,51.2826,53.75426,55.42355,1299.73073,1266.51235,1300.83151,1288.20173,4.7941,2.1287,23.03518,21.30674,1.97514,52.20342
